LIKEE;0;100;1303340;
LIKEE;0;100;1561924;
LIKEE;0;100;1110246;
LIKEE;0;100;1005846;
LIKEE;0;100;1011958;
LIKEE;0;500;1958262;
LIKEE;0;500;1941558;
LIKEE;0;500;3457892;
LIKEE;0;500;2574547;
LIKEE;0;500;2020782;
LIKEE;0;1000;2319258;
LIKEE;0;1000;3747923;
LIKEE;0;1000;3441437;
LIKEE;0;1000;3340299;
LIKEE;0;1000;3361987;
LIKEE;0;2000;7560785;
LIKEE;0;2000;5592212;
LIKEE;0;2000;8951823;
LIKEE;0;2000;9063269;
LIKEE;0;2000;6360911;
LIKEE;0;5000;15069044;
LIKEE;0;5000;15858437;
LIKEE;0;5000;11111724;
LIKEE;0;5000;17456232;
LIKEE;0;5000;15252019;
LIKEE;0;7500;26383514;
LIKEE;0;7500;19156299;
LIKEE;0;7500;20897350;
LIKEE;0;7500;18092504;
LIKEE;0;7500;24796089;
LIKEE;0;10000;54350208;
LIKEE;0;10000;70837048;
LIKEE;0;10000;47753251;
LIKEE;0;10000;54177637;
LIKEE;0;10000;56194704;
LIKEE;0;20000;83437438;
LIKEE;0;20000;96464951;
LIKEE;0;20000;101324315;
LIKEE;0;20000;84676373;
LIKEE;0;20000;94614295;
LIKEE;0;30000;54891077;
LIKEE;0;30000;55206815;
LIKEE;0;30000;65738095;
LIKEE;0;30000;63305420;
LIKEE;0;30000;57974594;
LIKEE;0;50000;98288194;
LIKEE;0;50000;92112071;
LIKEE;0;50000;94878656;
LIKEE;0;50000;97436563;
LIKEE;0;50000;99866473;
LIKEE;0;75000;142026489;
LIKEE;0;75000;138365697;
LIKEE;0;75000;137151284;
LIKEE;0;75000;158497886;
LIKEE;0;75000;134940584;
LIKEE;0;100000;927353551;
LIKEE;0;100000;904541522;
LIKEE;0;100000;282098664;
LIKEE;0;100000;265243465;
LIKEE;0;100000;177796453;
LIKEE;0;200000;2158130689;
LIKEE;0;200000;545294814;
LIKEE;0;200000;2160168306;
LIKEE;0;200000;2125029989;
LIKEE;0;200000;1926603199;
LIKEE;0;250000;2642363063;
LIKEE;0;250000;2779312720;
LIKEE;0;250000;2626903872;
LIKEE;0;250000;2552339104;
LIKEE;0;250000;2314631696;
