DB;100;seq;LIKEE;1000;0;110668494;685826
DB;200;seq;LIKEE;1000;0;109326550;337604
DB;500;seq;LIKEE;1000;0;103922600;1782752
DB;1000;seq;LIKEE;1000;1;121006045;594894
DB;2000;seq;LIKEE;1000;1;78254002;2332122
DB;5000;seq;LIKEE;1000;1;106503716;1267263
DB;7500;seq;LIKEE;1000;1;88372040;1913546
DB;10000;seq;LIKEE;1000;2;87535532;2437493
DB;15000;seq;LIKEE;1000;11;82746583;3434956
DB;20000;seq;LIKEE;1000;11;89782919;4228266
DB;25000;seq;LIKEE;1000;11;87356111;4871500
DB;30000;seq;LIKEE;1000;11;100880012;5759576
DB;40000;seq;LIKEE;1000;11;91672973;7990779
DB;50000;seq;LIKEE;1000;11;94153363;9545973
DB;75000;seq;LIKEE;1000;11;122430483;13817848
DB;100000;seq;LIKEE;1000;12;166498138;20186013
DB;150000;seq;LIKEE;1000;111;140340263;35098726
